DesignName,FirstChannelYSpacing,NumChannel,NumShank,NumSitePerShank,OtherParameters,PackageID,ShankHeight,ShankSpace,ShankStartingXLocation,ShankStartingYLocation,ShankWidth,SiteArea,TetrodeOffsetLeft,TetrodeOffsetRight,TetrodeOffsetUp,TrueShankLength,TrueSiteSpacing,DesignType,PackageName,ProbeType
 A16x1-3mm-100-125-413-HC16_21mm,80.0,16.0,16.0,1.0,,142.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,HC16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-HC16_21mm,80.0,16.0,16.0,1.0,,142.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,HC16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-HC16_21mm,80.0,16.0,16.0,1.0,,142.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,HC16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-413-HP16_21mm,80.0,16.0,16.0,1.0,,160.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,HP16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-HP16_21mm,80.0,16.0,16.0,1.0,,160.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,HP16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-HP16_21mm,80.0,16.0,16.0,1.0,,160.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,HP16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-413-MRCM16,80.0,16.0,16.0,1.0,,144.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,MRCM16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-MRCM16,80.0,16.0,16.0,1.0,,144.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,MRCM16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-MRCM16,80.0,16.0,16.0,1.0,,144.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,MRCM16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-413-Z16,80.0,16.0,16.0,1.0,,139.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,Z16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-Z16,80.0,16.0,16.0,1.0,,139.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,Z16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-Z16,80.0,16.0,16.0,1.0,,139.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,Z16 - a16x1,A-Style Probe
 A16x1-2mm-50-177-Z16,80.0,16.0,16.0,1.0,,139.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,2.0,50.0,Linear,Z16 - a16x1,A-Style Probe
 A16x1-2mm-50-413-Z16,80.0,16.0,16.0,1.0,,139.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,2.0,50.0,Linear,Z16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-413-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-2mm-50-125-413-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,2.0,50.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-2mm-100-125-413-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,2.0,100.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-2mm-50-125-177-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,2.0,50.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-2mm-100-125-177-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,2.0,100.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-2mm-100-125-703-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,2.0,100.0,Linear,A16 - a16x1,A-Style Probe
A16x1-2mm-50-703-A16,80.0,16.0,16.0,1.0,,136.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,2.0,50.0,Linear,A16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-C16,80.0,16.0,16.0,1.0,,146.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,C16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-C16,80.0,16.0,16.0,1.0,,146.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,C16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-413-C16,80.0,16.0,16.0,1.0,,146.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,C16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-703-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,3.0,100.0,Linear,CM16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-177-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,3.0,100.0,Linear,CM16 - a16x1,A-Style Probe
 A16x1-3mm-100-125-413-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,3.0,100.0,Linear,CM16 - a16x1,A-Style Probe
 A16x1-2mm-50-125-703-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,2.0,100.0,Linear,CM16 - a16x1,A-Style Probe
 A16x1-2mm-100-125-703-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,2.0,100.0,Linear,CM16 - a16x1,A-Style Probe
 A16x1-2mm-50-125-177-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,177.0,5.0,3.0,5.0,2.0,100.0,Linear,CM16 - a16x1,A-Style Probe
 A16x1-2mm-50-125-413-CM16,80.0,16.0,16.0,1.0,,137.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,2.0,50.0,Linear,CM16 - a16x1,A-Style Probe
