DesignID,DesignName,DesignTypeID,DisplaySiteFontSize,DisplaySiteSize,DisplaySiteSpacing,FirstChannelYSpacing,ManufactureID,N2TProductID,NumChannel,NumShank,NumSitePerShank,OtherParameters,PackageID,ProbeTypeID,ShankHeight,ShankSpace,ShankStartingXLocation,ShankStartingYLocation,ShankWidth,SiteArea,TetrodeOffsetLeft,TetrodeOffsetRight,TetrodeOffsetUp,TextBoxHeight,TextBoxPhaseWidth,TextBoxWidth,TrueShankLength,TrueSiteSpacing
1, A16x1-3mm-100-125-413-HC16_21mm,3.0,8.25,30.0,8.0,80.0,1.0,3167.0,16.0,16.0,1.0,,142.0,1.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
2, A16x1-3mm-100-125-413-HP16_21mm,3.0,8.25,30.0,8.0,80.0,1.0,3168.0,16.0,16.0,1.0,,160.0,1.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
3, A16x1-3mm-100-125-413-MRCM16,3.0,8.25,30.0,8.0,80.0,1.0,3171.0,16.0,16.0,1.0,,144.0,1.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
4, A16x1-3mm-100-125-413-Z16,3.0,8.25,30.0,8.0,80.0,1.0,3164.0,16.0,16.0,1.0,,139.0,1.0,500.0,35.0,50.0,100.0,50.0,413.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
5, A16x1-3mm-100-125-703-A16,3.0,8.25,30.0,8.0,80.0,1.0,3172.0,16.0,16.0,1.0,,136.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
6, A16x1-3mm-100-125-703-C16,3.0,8.25,30.0,8.0,80.0,1.0,3179.0,16.0,16.0,1.0,,146.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
7, A16x1-3mm-100-125-703-CM16,3.0,8.25,30.0,8.0,80.0,1.0,3173.0,16.0,16.0,1.0,,137.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
8, A16x1-3mm-100-125-703-CM16LP,3.0,8.25,30.0,8.0,80.0,1.0,3175.0,16.0,16.0,1.0,,153.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
9, A16x1-3mm-100-125-703-H16_21mm,3.0,8.25,30.0,8.0,80.0,1.0,3176.0,16.0,16.0,1.0,,140.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
10, A16x1-3mm-100-125-703-HC16_21mm,3.0,8.25,30.0,8.0,80.0,1.0,3177.0,16.0,16.0,1.0,,142.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
11, A16x1-3mm-100-125-703-HP16_21mm,3.0,8.25,30.0,8.0,80.0,1.0,3178.0,16.0,16.0,1.0,,160.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
12, A16x1-3mm-100-125-703-MRCM16,3.0,8.25,30.0,8.0,80.0,1.0,3181.0,16.0,16.0,1.0,,144.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
13, A16x1-3mm-100-125-703-Z16,3.0,8.25,30.0,8.0,80.0,1.0,3174.0,16.0,16.0,1.0,,139.0,1.0,500.0,35.0,50.0,100.0,50.0,703.0,5.0,3.0,5.0,15.0,30.0,30.0,3.0,100.0
